,Date,Review_Score,Review_Text
1,"August 21, 2019",4,"""sim tool launches before the page is done loading blocking the check text"" this has been fixed. as for the update ""we’ve also made it possible for you to check your account balance without logging into the app [by adding another app]"". this was possible in the old app, why would i need 2 different ...full review"
2,"September 10, 2019",3,app is making my phone hang sevaral time ..also fone gets restart automatically several times a day after accessng the app.. also hangs restrt session and have to manualy reset to start fone again...also when trusted..finger print gets locked and then it not unlock even with pin code and have to res...full review
3,"August 16, 2019",3,i have been using the old and new version of the same thing is a good smartphone and tablet or just want to do anything else than the other stuff that i know that you are doing the best of all the most important things too fast and easy to use the old and the best possible way to do it is by no mean...full review
4,"August 21, 2019",4,"worst app ever? slower and affords less privacy and security than accessing banking through the browser on your phone or computer, only usergroup i can imagine benefitting from this is dnb's marketing division."
5,"August 15, 2019",1,"har ikke root tilgang, kommer fortsatt ikke inn. får feilmeldingen  ""𝗧𝗵𝗲 𝗺𝗼𝗯𝗶𝗹𝗲 𝗯𝗮𝗻𝗸 𝗶𝘀 𝗯𝗹𝗼𝗰𝗸𝗲𝗱"" you cannot use the mobile bank on this device. that's because devices that have been altered (𝗿𝗼𝗼𝘁𝗲𝗱 ) pose security risks. har heller ikke installert noen tredjeparts-apper, ...full review"
6,"September 18, 2019",2,login doesnt work...no message either. shud be able view balance and transactions like the old app... :(
7,"August 21, 2019",1,complete trash. used to be ok. its hardly an app. more like their website that's been poorly converted to work as an app. one of the reasons that i changed to sbanken.
8,"August 20, 2019",3,"very unreliable, but when it works its pretty fast and easy to use."
9,"August 27, 2019",1,almost never works. often try to log in but get error 1012 with bank id
10,"September 7, 2019",2,jesus christ why is there no option to change languages? i've been stuck with this app in english forever
11,"September 11, 2019",1,trying to login but the application is not responding.
12,"August 27, 2019",5,"after the recent update, i can now log into the app. works as intended."
13,"August 21, 2019",1,"rarely works, try to connect and just times out"
14,"August 22, 2019",5,this is the best app to know how much you have in your acount and alot more.
15,"April 15, 2019",3,edit: been a couple of weeks now since my last review and it seems quite a lot of the smaller features have been fixed. unfortunately though for me (i dont know if it applies to others) whenever i am required to log in with my bankid (either to log in or to make payments) it wont work. it gets stuck...full review
16,"May 19, 2019",2,"the few last updates are horrible. i have to log in even if i don't do any active operation. application logs me out randomly. loading times are much slower, navigation is awfully slow even on a powerful phone and fast connection. spending button is greyed out for no obvious reason. most of the butt...full review"
17,"May 23, 2019",1,"biometric login hardly ever works. the app is constantly down and not available through neither of the login options. feels like you're rolling the dice, which is not a suitable feeling for a banking app. have to login to view account, or use a widget which completely ruins your wallpaper, so not a ...full review"
18,"May 29, 2019",4,"been trying for a month to log in, no matter which log in option i choose it says there was an error. called dnb and they said to fix it just restart your phone. still didn't work. i will note that it did work fine when i first got it. i think the latest update has broken it. got it fixed now after ...full review"
19,"June 11, 2019",4,"a good overall app, simple and understandable ui, does what i expect from a mobile bank app. an improvement would be if i could use either my iris recognition or fingerprint while both are enabled. on my note 8, it only allows for iris if it's enabled, this doesn't work that well with sunglasses dur...full review"
