,Date,Review_Score,Review_Text
1,"December 4, 2018",3,missing offline possibility. often bugs preventing opening articles. good articles.
2,"July 12, 2019",2,"har hatt problemer tidligere med at jeg ofte blir logget ut, men nå får jeg ikke tilgang i det hele tatt til artikler ""for abonnenter"", til tross for at jeg er abonnent og logget inn. håper dette blir fikset snart."
3,"April 24, 2019",4,krasjer hver gang jeg forsøker å lese en artikkel. ser ut til å være relatert til en oppdatering
4,"February 15, 2019",2,"har store problemer med appen på nettbrett android galaxy. får beskjed om at appen er oppdatert og kan installeres på nytt,men lenken går bare til apple oppdateringen som ikke er kompatible med nettbrettet. dermed er den helt ubrukbar. på telefonen (også android) fungerer den fint."
5,"February 10, 2019",1,"får ikke opp nyheter etter 6. februar, og får stadig feilmelding om at sesjonen min er utløpt og at jeg må logge inn på nytt."
6,"February 23, 2019",1,"umulig app. må laste ned annenhver dag fordi får stadig melding om at jeg har lest 6 gratis artikler, og oppfordring om å bli abonnent - til tross for at jeg er abonnent og innlogget. nytter ikke å logge av og på igjen heller. kun å laste ned app'en på nytt. svært misfornøyd, og null hjelp fra aften...full review"
7,"March 6, 2019",2,"får ikke tilgang til forsiden av aftenposten på android nettbrett pga info om ny app. denne appen gjelder kun apple brukere men fører til at jeg også utestenges. kommer en fix på dette snart? jeg ser at dette er fikset. det er fint, men nå er det ikke mulig å logge seg inn på nettbrettet."
8,"January 3, 2019",2,mottar alt for mange varsler etter at telefonen ble oppdatert til android pie. ofte varsler jeg har sett før som er opp til flere dager gamle
9,"June 28, 2018",4,hva med en daglig offline seksjon. dårlig dekning på toget:) ellers bra.
10,"May 11, 2018",3,"ikke en spesielt bra app. lite mulighet for personalisering og samtidigvis 
mange unødvendige funksjoner. er ikke vits i å lese aftenposten hver dag 
siden mange av de gamle nyhetene forblir på ""forsiden"" og det er nærmest 
umulig å finne enkelt frem til nytt stoff eller finne frem til gammelt men 
...full review"
11,"April 9, 2018",2,😒 har autoavspilling av video i nettsiden. ikke forbrukervennlig når det kommer til mobil databruk. ingen funksjon for å slå det av ennå.
12,"April 8, 2018",3,"funker ok. videoer starter sjelden og det er ikke mulig å scrolle i appen når man scroller på direktebloggen.  oppdatering etter oppdateringen :) : scrolling i direktebloggen er nå ok, flott. liten bug der ennå; media vises ikke i direktebloggen og det vises et sort panel med en snurrende sirkel der...full review"
